"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.7142857142857143,0.0,21
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.014285714285714285,0.7571428571428571,0.4,70
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.23809523809523808,0.0,21
"(mo_smile;m_gaze_at;i_gaze_at)","(mo_smile;m_gaze_at;i_gaze_at)",0.0,0.0,0.0,8
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.1111111111111111,0.0,18
"(mo_smile;m_gaze_at_object)","(mo_smile;m_gaze_at_object)",0.047619047619047616,1.0,1.0,21
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.0,0.0,31
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.6,0.0,30
"(mother-speech)","(mother-speech)",0.05,1.0,0.01,100
"(m_gaze_at;mother-speech;infant_voc)","(m_gaze_at;mother-speech;infant_voc)",0.023809523809523808,0.8095238095238095,0.19047619047619047,42
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,74
"(m_gaze_away;i_gaze_away)","(m_gaze_away;i_gaze_away)",0.0,1.0,0.0,10
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.3888888888888889,0.0,18
"(m_gaze_at)","(m_gaze_at)",0.0,0.0,0.0,25
"(i_gaze_at)","(i_gaze_at)",0.0,0.98,0.0,100
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.0,0.47058823529411764,0.0,17
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.6136363636363636,0.0,44
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.9761904761904762,0.047619047619047616,84
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.43333333333333335,0.0,30
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.0,0.4444444444444444,0.0,9
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.2777777777777778,0.0,18
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.6666666666666666,0.027777777777777776,36
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.42857142857142855,0.0,0.0,7
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,39
"(mo_smile;i_gaze_at;m_gaze_at_object)","(mo_smile;i_gaze_at;m_gaze_at_object)",0.0,1.0,0.8181818181818182,22
"(m_gaze_away)","(m_gaze_away)",0.0,0.8666666666666667,0.0,15
"(mo_smile)","(mo_smile)",0.0,0.98,0.0,100
"(m_gaze_away;i_gaze_at_object)","(m_gaze_away;i_gaze_at_object)",0.058823529411764705,0.4117647058823529,0.0,17
"(inf_smile)","(inf_smile)",0.0,0.0,0.0,10
"(m_gaze_at)","(m_gaze_at)",0.0,0.019230769230769232,0.0,52
"(mo_smile;infant_voc;inf_smile)","(mo_smile;infant_voc;inf_smile)",0.0,0.7777777777777778,0.0,9
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.16,0.0,25
"(m_gaze_at;mother-speech;infant_voc;inf_smile)","(m_gaze_at;mother-speech;infant_voc;inf_smile)",0.0,1.0,0.0,8
"(m_gaze_at)","(m_gaze_at)",0.0,0.18,0.0,100
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.14285714285714285,0.6666666666666666,0.047619047619047616,21
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.018867924528301886,0.8867924528301887,0.0,53
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.9,0.0,50
"(i_gaze_away;m_gaze_at_object)","(i_gaze_away;m_gaze_at_object)",0.875,0.0,0.125,8
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.023809523809523808,0.7142857142857143,0.03571428571428571,84
"(mo_smile;inf_smile;i_gaze_at_object)","(mo_smile;inf_smile;i_gaze_at_object)",0.0,1.0,0.9666666666666667,30
"(mo_smile;mother-speech;infant_voc)","(mo_smile;mother-speech;infant_voc)",0.0,1.0,0.0625,16
"(inf_smile;i_gaze_at_object)","(inf_smile;i_gaze_at_object)",0.03333333333333333,0.9666666666666667,1.0,30
"(mo_smile;infant_voc;inf_smile)","(mo_smile;infant_voc;inf_smile)",0.0,0.1111111111111111,0.0,9
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.1111111111111111,0.0,18
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.0,0.2857142857142857,0.0,14
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.5,0.0625,0.0,16
"(m_gaze_at;i_gaze_away)","(m_gaze_at;i_gaze_away)",0.04878048780487805,0.9634146341463414,0.9878048780487805,82
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.16,0.8,0.04,25
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.02,0.92,0.16,50
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.037037037037037035,0.0,54
"(m_gaze_at)","(m_gaze_at)",0.0,0.0,0.0,5
"(mother-speech;i_gaze_at;infant_voc)","(mother-speech;i_gaze_at;infant_voc)",0.0,1.0,0.42105263157894735,38
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,16
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.01282051282051282,0.8333333333333334,0.0,78
"(m_gaze_at_object)","(m_gaze_at_object)",0.013888888888888888,0.3472222222222222,0.027777777777777776,72
"(mother-speech;i_gaze_at;infant_voc)","(mother-speech;i_gaze_at;infant_voc)",0.0,0.6666666666666666,0.0,9
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.09090909090909091,0.045454545454545456,0.0,22
"(mo_smile)","(mo_smile)",0.0,0.88,0.0,100
