"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(m_gaze_at)","(m_gaze_at)",0.0,0.0,0.0,25
"(mother-speech)","(mother-speech)",0.0,0.4230769230769231,0.0,52
"(i_gaze_at)","(i_gaze_at)",0.0,0.99,0.0,100
"(mo_smile;i_gaze_at;inf_smile)","(mo_smile;i_gaze_at;inf_smile)",0.0,0.058823529411764705,0.0,17
"(m_gaze_at;mother-speech;inf_smile)","(m_gaze_at;mother-speech;inf_smile)",0.0,0.13636363636363635,0.0,44
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.44594594594594594,0.0,0.0,74
"(infant_voc)","(infant_voc)",0.0,0.77,0.0,100
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.8636363636363636,0.0,44
"(inf_smile)","(inf_smile)",0.24175824175824176,0.02197802197802198,0.17582417582417584,91
"(mo_smile;i_gaze_at;infant_voc)","(mo_smile;i_gaze_at;infant_voc)",0.0,0.7777777777777778,0.0,18
