"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(mo_smile;m_gaze_at_object)","(mother-speech;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,9
"(m_gaze_at_object;inf_smile;infant_voc)","(mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;mo_smile;m_gaze_at)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,12
"(m_gaze_at;mo_smile)","(inf_smile;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc;mo_smile;mother-speech)","(m_gaze_at;i_gaze_at;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;infant_voc;m_gaze_at_object;i_gaze_away)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(inf_smile;infant_voc;i_gaze_at_object)","(mother-speech;m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(infant_voc;i_gaze_away;m_gaze_at)","(mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object)","(inf_smile;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,30
"(m_gaze_at)","(mo_smile;i_gaze_at;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,3
"(m_gaze_away;inf_smile;mo_smile;i_gaze_away)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at_object;mother-speech;infant_voc;inf_smile)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_at_object;infant_voc;inf_smile;i_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,3
"(m_gaze_away)","(i_gaze_at;inf_smile;mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;inf_smile)","(m_gaze_at;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,58
"(inf_smile;i_gaze_away;mo_smile;infant_voc)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,6
"(i_gaze_away;inf_smile;mo_smile;m_gaze_at_object)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;inf_smile)","(mo_smile;m_gaze_at)",0.413,68,181.76,0.0,0.5833333333333334,0.0,12
"(mo_smile;inf_smile;infant_voc)","(m_gaze_at_object;mother-speech;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;i_gaze_at;m_gaze_at_object;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;mother-speech;inf_smile;mo_smile)","(i_gaze_at;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;mo_smile;inf_smile;m_gaze_at_object)","(i_gaze_at;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;mo_smile;infant_voc;m_gaze_at_object)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(i_gaze_at_object;mo_smile;infant_voc;inf_smile)","(mother-speech;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;infant_voc;mother-speech;i_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;i_gaze_at;mother-speech;infant_voc)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at_object;inf_smile)","(m_gaze_at_object;infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;mother-speech;mo_smile)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,17
