"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(m_gaze_at;mother-speech;i_gaze_at;inf_smile)","(mo_smile)",0.584,11,45.678,0.0,0.6153846153846154,0.0,13
"(i_gaze_at;infant_voc)","(mo_smile;inf_smile)",0.199,14,19.618,0.0,0.5454545454545454,0.0,11
"(infant_voc)","(mo_smile;m_gaze_at;i_gaze_at)",0.168,20,33.405,0.0,0.625,0.0,8
"(mo_smile)","(m_gaze_at)",0.639,165,824.63,0.0,0.61,0.0,100
"(m_gaze_at;mother-speech)","(mo_smile)",0.478,83,209.871,0.0,0.14285714285714285,0.0,63
"(m_gaze_at;infant_voc;inf_smile)","(mo_smile;mother-speech)",0.306,12,10.613,0.0,0.16666666666666666,0.0,6
"(mo_smile;inf_smile)","(m_gaze_at;i_gaze_at)",0.452,47,179.141,0.0,0.3,0.0,40
"(m_gaze_away;inf_smile)","(mother-speech)",0.379,12,12.396,0.7142857142857143,0.047619047619047616,0.0,21
"(m_gaze_at;infant_voc)","(i_gaze_at;inf_smile)",0.287,13,28.389,0.0,0.6486486486486487,0.0,37
"(mo_smile;infant_voc)","(m_gaze_at;i_gaze_at)",0.564,9,29.422,0.0,0.5098039215686274,0.0,51
"(mother-speech;m_gaze_at_object)","(i_gaze_at_object)",0.305,25,46.529,0.11538461538461539,0.019230769230769232,0.6153846153846154,52
"(m_gaze_at)","(mo_smile;inf_smile)",0.173,199,325.644,0.0,0.057692307692307696,0.0,52
"(m_gaze_at;i_gaze_at;inf_smile)","(mo_smile;mother-speech)",0.337,100,97.202,0.0,0.0,0.0,11
"(m_gaze_away)","(inf_smile;i_gaze_away)",0.24,2,15.121,0.0,1.0,0.0,12
"(m_gaze_at;infant_voc)","(mo_smile;i_gaze_at)",0.32,13,31.593,0.0,0.6956521739130435,0.0,46
"(i_gaze_at)","(mo_smile)",0.424,241,852.4,0.0,0.83,0.0,100
"(mother-speech;i_gaze_at)","(mo_smile;inf_smile)",0.203,57,92.309,0.0,0.48,0.0,25
"(m_gaze_at;mother-speech;i_gaze_at)","(mo_smile)",0.493,57,137.418,0.0,0.023255813953488372,0.0,43
"(mo_smile;m_gaze_at;inf_smile)","(mother-speech)",0.525,120,128.978,0.0,0.0,0.0,9
"(m_gaze_at;mother-speech)","(mo_smile;i_gaze_at)",0.359,78,157.51,0.0,0.08333333333333333,0.0,36
